UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,DigiDMacht,Grondslag,Grondslaglabel,Grondslaglink
aflosbedrag studieschuld verlaging,http://standaarden.overheid.nl/owms/terms/aflosbedrStuSchldVerlag,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_6_12,Artikel 6.12 Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=6&Paragraaf=6.1&artikel=6.10
afvalbeheersbijdrage,http://standaarden.overheid.nl/owms/terms/afvbehbijdr,X,,,,,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Besluit_beheer_verpakk_art_9,Artikel 9 Besluit beheer verpakkingen 2014,https://wetten.overheid.nl/jci1.3:c:BWBR0035711&Paragraaf=5&artikel=9
afvalbeheersbijdrage vlakglas,http://standaarden.overheid.nl/owms/terms/afvbehbijdrvlhgl,X,,,,,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Ovk_verwijdbijdr_vlakglas,"Overeenkomst inzake de verwijderingsbijdrage voor vlakglas (Stcrt. 2016, 34134)",https://zoek.officielebekendmakingen.nl/stcrt-2016-34134.html
afvalcontainer,http://standaarden.overheid.nl/owms/terms/afvalcontainer,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_10,Artikel 10 Model Afvalstoffenverordening,
afvalinzamelaarslijst,http://standaarden.overheid.nl/owms/terms/afvalinzlst,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Biaf_art_2,Artikel 2 Besluit inzamelen afvalstoffen,https://wetten.overheid.nl/jci1.3:c:BWBR0016530&Paragraaf=2&artikel=2
afvalinzameling blik,http://standaarden.overheid.nl/owms/terms/afvalinzBlik,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling chemisch afval,http://standaarden.overheid.nl/owms/terms/afvalinzameling_chemisch_afval,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling glas,http://standaarden.overheid.nl/owms/terms/afvalinzameling_glas,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling grofvuil,http://standaarden.overheid.nl/owms/terms/afvalinzameling_grofvuil,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling oud papier,http://standaarden.overheid.nl/owms/terms/afvalinzameling_oud_papier,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling plastic,http://standaarden.overheid.nl/owms/terms/afvalinzameling_plastic,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling plastic metaal drankenkartons,http://standaarden.overheid.nl/owms/terms/afvalInzPMDK,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzameling textiel,http://standaarden.overheid.nl/owms/terms/afvalinzameling_textiel,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_7,Artikel 7 Model Afvalstoffenverordening,
afvalinzamelstation,http://standaarden.overheid.nl/owms/terms/afvalinzamelstation,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wm_art_10_22,Artikel 10.22 Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=10&titeldeel=10.4&artikel=10.22
afvalkalender,http://standaarden.overheid.nl/owms/terms/afvalkalender,,,,X,X,,,,,X,,,,,,,,
afvalstoffenbelasting,http://standaarden.overheid.nl/owms/terms/afvalstbel,X,,,,,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wbm_art_23,Artikel 23 Wet belastingen op milieugrondslag,https://wetten.overheid.nl/jci1.3:c:BWBR0007168&hoofdstuk=IV&afdeling=2&artikel=23
afvalstoffenheffing,http://standaarden.overheid.nl/owms/terms/afvalstoffenheffing,,,,X,X,,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/WM_art_15_33,Artikel 15.33 Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=15&titeldeel=15.9&artikel=15.33
afvalstortontheffing,http://standaarden.overheid.nl/owms/terms/afvalstortontheffing,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_14,Artikel 14 Model Afvalstoffenverordening,
afvalvervoerskennisgeving,http://standaarden.overheid.nl/owms/terms/afvvervkg,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1013_2006_art_4,"Verordening (EG) Nr. 1013/2006 van het Europees Parlement en de raad van 14 juni 2006 betreffende de overbrenging van afvalstoffen, artikel 4",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32006R1013&from=NL#d1e4346-1-1
akte van de burgerlijke stand,http://standaarden.overheid.nl/owms/terms/akte_van_de_burgerlijke_stand,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_23b,Artikel 23b Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=4&afdeling=8&artikel=23b
alarmsirene,http://standaarden.overheid.nl/owms/terms/alarmsirene,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wvr_art_25,Artikel 25 Wet veiligheidsregio's,https://wetten.overheid.nl/jci1.3:c:BWBR0027466&Paragraaf=4&artikel=25
alcoholvergunning,http://standaarden.overheid.nl/owms/terms/alcoholvergunning,X,,,X,,X,X,N1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Alcoholwet_art_3,Artikel 3 Alcoholwet,https://wetten.overheid.nl/jci1.3:c:BWBR0002458&Paragraaf=2&artikel=3
algemene periodieke keuring,http://standaarden.overheid.nl/owms/terms/apk,X,,,,X,X,,C1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_72,Artikel 72 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=V&Paragraaf=2&artikel=72
algemene periodieke keuring bezwaar,http://standaarden.overheid.nl/owms/terms/apkBezw,X,,,,X,X,,C1,,,,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_90,Artikel 90 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=V&Paragraaf=6&artikel=90
algemene periodieke keuring bezwaar,http://standaarden.overheid.nl/owms/terms/apkBezw,X,,,,X,X,,C1,,,,,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_91,Artikel 91 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=V&Paragraaf=6&artikel=91
alimentatie inning,http://standaarden.overheid.nl/owms/terms/alimentatieInning,X,,,,X,,,G1,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_408,Artikel 408 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=17&afdeling=2&artikel=408
amateurkunstsubsidie,http://standaarden.overheid.nl/owms/terms/amateurkunstsubsidie,,X,,X,X,,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
amateurkunstsubsidie,http://standaarden.overheid.nl/owms/terms/amateurkunstsubsidie,,X,,X,X,,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
ambtenaar burgerlijke stand,http://standaarden.overheid.nl/owms/terms/ambtBurgStnd,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_16,Artikel 16 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=4&afdeling=1&artikel=16
ambtshalve vermindering belastingaanslag,http://standaarden.overheid.nl/owms/terms/ambtshVermBelAansl,X,,,,X,X,,B4,,,,,,,,http://standaarden.overheid.nl/owms/terms/AWR_art_65,Artikel 65 Algemene wet inzake rijksbelastingen,https://wetten.overheid.nl/jci1.3:c:BWBR0002320&hoofdstuk=VIII&afdeling=5&artikel=65
antenneregister inzage,http://standaarden.overheid.nl/owms/terms/antenneregInz,X,,,,X,X,,A5,,,,,,,,http://standaarden.overheid.nl/owms/terms/Frequentiebesluit_2013_art_26,Artikel 26 Frequentiebesluit 2013,https://wetten.overheid.nl/jci1.3:c:BWBR0032895&hoofdstuk=4&artikel=26
antenneregister registratie,http://standaarden.overheid.nl/owms/terms/antenneregRegistr,X,,,,X,X,X,A5,,,,,,,,http://standaarden.overheid.nl/owms/terms/Frequentiebesluit_2013_art_23,Artikel 23 Frequentiebesluit 2013,https://wetten.overheid.nl/jci1.3:c:BWBR0032895&hoofdstuk=4&artikel=23
antireclamesticker,http://standaarden.overheid.nl/owms/terms/antireclamesticker,,,,X,X,,,,,X,,,,,,,,
anw-uitkering,http://standaarden.overheid.nl/owms/terms/anw-uitkering,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Anw_art_14,Artikel 14 Algemene nabestaandenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0007795&hoofdstuk=3&afdeling=I&Paragraaf=1&artikel=14
aor financiële ondersteuning,http://standaarden.overheid.nl/owms/terms/aorFinOnd,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WUWVerzOorl_art_4,Artikel 4 Wet uitvoering wetten voor verzetsdeelnemers en oorlogsgetroffenen,https://wetten.overheid.nl/jci1.3:c:BWBR0027660&artikel=4
aow-uitkering,http://standaarden.overheid.nl/owms/terms/aow-uitkering,X,,,X,X,,,B9,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/AOW_art_7,Artikel 7 Algemene Ouderdomswet,https://wetten.overheid.nl/jci1.3:c:BWBR0002221&hoofdstuk=III&Paragraaf=1&artikel=7
arbeidsdeskundige-inschakeling,http://standaarden.overheid.nl/owms/terms/arbdeskinsch,X,,,,X,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Arbo_art_14,Artikel 14 Arbeidsomstandighedenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0010346&hoofdstuk=3&artikel=14
arbeidsmiddelenkeuring,http://standaarden.overheid.nl/owms/terms/arbmiddkeur,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Arbo_art_7_4a,Artikel 7.4a Arbeidsomstandighedenbesluit,https://wetten.overheid.nl/jci1.3:c:BWBR0008498&hoofdstuk=7&afdeling=2&artikel=7.4a
archeologische-vondstmelding,http://standaarden.overheid.nl/owms/terms/archvndstmld,X,,,,X,X,X,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_5_10,Artikel 5.10 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=5&Paragraaf=5.4&artikel=5.10
archief inzage,http://standaarden.overheid.nl/owms/terms/archiefInzage,,,X,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Aw_1995_art_14,Artikel 14 Archiefwet 1995,https://wetten.overheid.nl/jci1.3:c:BWBR0007376&hoofdstuk=II&artikel=14
archiefbescheiden behoud voor raadpleging,http://standaarden.overheid.nl/owms/terms/archiefbescheiden_behoud_voor_raadpleging,,X,,,,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Aw_1995_art_13,Artikel 13 Archiefwet 1995,https://wetten.overheid.nl/jci1.3:c:BWBR0007376&hoofdstuk=II&artikel=13
architectenregister inzage,http://standaarden.overheid.nl/owms/terms/architRegInz,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WArchTit_art_22,Artikel 22 Wet op de architectentitel,https://wetten.overheid.nl/jci1.3:c:BWBR0004189&hoofdstuk=V&artikel=22
asbestbevattende weg melding,http://standaarden.overheid.nl/owms/terms/asbestWegMelding,X,,,,X,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/BeslAsbMilBeh_art_5,Artikel 5 Besluit asbestwegen milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0011619&Paragraaf=2&artikel=5
asbestslachtoffer tegemoetkoming,http://standaarden.overheid.nl/owms/terms/asbestsloTgmk,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/RegTegAsb_art_3,Artikel 3 Regeling tegemoetkoming asbestslachtoffers 2014,https://wetten.overheid.nl/jci1.3:c:BWBR0035006&hoofdstuk=2&artikel=3
asbestslachtoffer tegemoetkoming,http://standaarden.overheid.nl/owms/terms/asbestsloTgmk,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/RegTegNLDSlaMesAsb_art_2,Artikel 2 Regeling tegemoetkoming niet-loondienstgerelateerde slachtoffers van mesothelioom en asbestose,https://wetten.overheid.nl/jci1.3:c:BWBR0022913&Paragraaf=2&artikel=2
asbestverwijdering,http://standaarden.overheid.nl/owms/terms/asbestverwijdering,,,,X,X,X,X,,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/Bouwbesluit_2012_art_1_26,Artikel 1.26 Bouwbesluit 2012,https://wetten.overheid.nl/jci1.3:c:BWBR0030461&hoofdstuk=1&Paragraaf=1.7&artikel=1.26
assurantiebelasting,http://standaarden.overheid.nl/owms/terms/assurbel,X,,,,,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/WBRV_art_20,Artikel 20 Wet op belastingen van rechtsverkeer,https://wetten.overheid.nl/jci1.3:c:BWBR0002740&hoofdstuk=III&afdeling=1&artikel=20
asverstrooiing,http://standaarden.overheid.nl/owms/terms/asverstrooiing,,,,X,X,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_5_36,Artikel 5:36 Model Algemene plaatselijke verordening,
auto-aanpassing,http://standaarden.overheid.nl/owms/terms/auto-aanpassing,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&Paragraaf=3&artikel=2.3.1
autobandeninnameverplichting,http://standaarden.overheid.nl/owms/terms/autobndinnverpl,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Bbab_art_3,Artikel 3 Besluit beheer autobanden,https://wetten.overheid.nl/jci1.3:c:BWBR0016038&Paragraaf=2&artikel=3
autokinderzitje,http://standaarden.overheid.nl/owms/terms/autokinderzitje,X,,,,,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/RVV_art_59,Artikel 59 Reglement verkeersregels en verkeerstekens 1990,https://wetten.overheid.nl/jci1.3:c:BWBR0004825&hoofdstuk=II&Paragraaf=27&artikel=59
automatische incasso of machtiging,http://standaarden.overheid.nl/owms/terms/automatische_incasso_of_machtiging,,,X,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_3_art_60,Artikel 60 Burgerlijk Wetboek Boek 3,https://wetten.overheid.nl/jci1.3:c:BWBR0005291&boek=3&titeldeel=3&artikel=60
baatbelasting,http://standaarden.overheid.nl/owms/terms/baatbelasting,X,,,X,X,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Gemw_art_222,Artikel 222 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&Paragraaf=3&artikel=222
backpay-uitkering,http://standaarden.overheid.nl/owms/terms/backpayUitk,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/UitkRegBackp_art_2,Artikel 2 Uitkeringsregeling Backpay,https://wetten.overheid.nl/jci1.3:c:BWBR0037426&artikel=2
badinrichting,http://standaarden.overheid.nl/owms/terms/badinrichting,X,X,,,X,X,X,,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/Whvbz_art_10,Artikel 10 Wet hygiëne en veiligheid badinrichtingen en zwemgelegenheden,https://wetten.overheid.nl/jci1.3:c:BWBR0002660&artikel=10
badinrichting legionellapreventie,http://standaarden.overheid.nl/owms/terms/badinrichting_legionellapreventie,X,X,,,,X,X,,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/BHVZ_art_2a,Artikel 2a Besluit hygiëne en veiligheid badinrichtingen en zwemgelegenheden,https://wetten.overheid.nl/jci1.3:c:BWBR0003716&hoofdstuk=II&Paragraaf=1a&artikel=2a
badinrichting ontheffing,http://standaarden.overheid.nl/owms/terms/badinrichting_ontheffing,,X,,,,X,X,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Whvbz_art_5,Artikel 5 Wet hygiëne en veiligheid badinrichtingen en zwemgelegenheden,https://wetten.overheid.nl/jci1.3:c:BWBR0002660&artikel=5
bag inzage,http://standaarden.overheid.nl/owms/terms/bagInz,,,,X,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BAG_art_32,Artikel 32 Wet basisregistratie adressen en gebouwen,https://wetten.overheid.nl/jci1.3:c:BWBR0023466&hoofdstuk=5&Paragraaf=1&artikel=32
ballon oplaten bij vliegveld toestemming,http://standaarden.overheid.nl/owms/terms/ballonOplVliegvToest,X,,,,X,X,X,C5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/RegKabKlBal_art_3,Artikel 3 Regeling kabelvliegers en kleine ballons,https://wetten.overheid.nl/jci1.3:c:BWBR0007094&artikel=3
ballon oplaten bij vliegveld toestemming,http://standaarden.overheid.nl/owms/terms/ballonOplVliegvToest,X,,,,X,X,X,C5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/RegKabKlBal_art_4,Artikel 4 Regeling kabelvliegers en kleine ballons,https://wetten.overheid.nl/jci1.3:c:BWBR0007094&artikel=4
bankierseed,http://standaarden.overheid.nl/owms/terms/bankierseed,X,,,,X,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Reg_eed_fin_sec_art_1,Artikel 1 Regeling eed of belofte financiële sector 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0036152&artikel=1
basisschool klacht,http://standaarden.overheid.nl/owms/terms/basisschKlacht,X,,,,X,,,E1,,,,,,,,http://standaarden.overheid.nl/owms/terms/WPO_art_14,Artikel 14 Wet op het primair onderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0003420&hoofdstuk=I&titeldeel=II&afdeling=1&Paragraaf=1&artikel=14
batterijen en accu's-inzamelverplichting,http://standaarden.overheid.nl/owms/terms/battaccuinzplicht,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Reg_beheer_batt_art_5,Artikel 5 Regeling beheer batterijen en accu’s 2008,https://wetten.overheid.nl/jci1.3:c:BWBR0024492&Paragraaf=3&artikel=5
bebouwde kom vaststelling,http://standaarden.overheid.nl/owms/terms/bebouwde_kom_vaststelling,,X,,,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wegw_art_27,Artikel 27 Wegenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0001948&hoofdstuk=V&Paragraaf=1&artikel=27
bedieningstijden,http://standaarden.overheid.nl/owms/terms/bedieningstijden,,,X,,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/Wschw_art_78,Artikel 78 Waterschapswet,https://wetten.overheid.nl/jci1.3:c:BWBR0005108&titeldeel=III&hoofdstuk=X&artikel=78
bedrijf aan huis melding,http://standaarden.overheid.nl/owms/terms/bedrijf_aan_huis_melding,,,,X,X,,,J1,,X,,,X,,,,,
bedrijfsafvalinzameling,http://standaarden.overheid.nl/owms/terms/bedrijfsafvalinzameling,X,,,X,,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Afv_art_11,Artikel 11 Model Afvalstoffenverordening,
